5.26km/h, 0.00 V, -0.81A , 13:5:27
55.11km/h, 75.90 V, -9.23A , 13:36:2
55.09km/h, 75.86 V, -9.12A , 13:36:2
55.04km/h, 75.76 V, -9.30A , 13:36:2
55.06km/h, 75.60 V, -9.30A , 13:36:2
55.05km/h, 75.66 V, -9.20A , 13:36:2
55.07km/h, 75.69 V, -9.40A , 13:36:2
55.05km/h, 75.66 V, -9.38A , 13:36:2
55.05km/h, 75.75 V, -9.19A , 13:36:2
55.07km/h, 75.80 V, -9.31A , 13:36:3
55.09km/h, 75.91 V, -9.25A , 13:36:3
55.10km/h, 76.00 V, -9.04A , 13:36:3
55.12km/h, 75.78 V, -9.23A , 13:36:3
55.16km/h, 76.00 V, -8.95A , 13:36:3
55.14km/h, 76.00 V, -8.89A , 13:36:3
55.15km/h, 75.83 V, -9.04A , 13:36:3
55.14km/h, 75.90 V, -8.97A , 13:36:3
55.19km/h, 76.00 V, -8.86A , 13:36:3
55.18km/h, 76.04 V, -9.03A , 13:36:3
55.17km/h, 76.16 V, -8.82A , 13:36:3
55.19km/h, 76.13 V, -8.83A , 13:36:3
55.19km/h, 76.13 V, -9.09A , 13:36:3
55.14km/h, 76.34 V, -8.85A , 13:36:3
55.10km/h, 76.30 V, -9.10A , 13:36:3
55.13km/h, 76.51 V, -9.16A , 13:36:3
55.16km/h, 76.82 V, -8.95A , 13:36:3
55.13km/h, 76.85 V, -9.00A , 13:36:3
55.09km/h, 76.85 V, -9.16A , 13:36:3
55.10km/h, 76.88 V, -9.02A , 13:36:3
55.11km/h, 76.79 V, -9.21A , 13:36:3
55.12km/h, 76.72 V, -9.31A , 13:36:3
55.13km/h, 76.76 V, -9.14A , 13:36:3
55.18km/h, 76.84 V, -9.28A , 13:36:3
55.16km/h, 76.69 V, -9.30A , 13:36:3
55.15km/h, 76.55 V, -9.21A , 13:36:4
55.10km/h, 76.43 V, -9.18A , 13:36:4
55.07km/h, 76.25 V, -9.15A , 13:36:4
55.07km/h, 76.22 V, -8.97A , 13:36:4
55.06km/h, 76.19 V, -9.11A , 13:36:4
55.05km/h, 76.29 V, -8.85A , 13:36:4
55.04km/h, 76.40 V, -8.85A , 13:36:4
55.05km/h, 76.36 V, -8.95A , 13:36:4
55.07km/h, 76.32 V, -8.77A , 13:36:4
55.12km/h, 76.43 V, -8.72A , 13:36:4
55.11km/h, 76.33 V, -8.89A , 13:36:4
55.11km/h, 76.31 V, -8.76A , 13:36:4
55.15km/h, 76.43 V, -8.79A , 13:36:4
55.17km/h, 76.40 V, -8.94A , 13:36:4
55.14km/h, 76.35 V, -8.89A , 13:36:4
55.14km/h, 76.23 V, -9.11A , 13:36:4
55.10km/h, 76.27 V, -9.12A , 13:36:4
55.12km/h, 76.34 V, -9.02A , 13:36:4
55.06km/h, 76.28 V, -9.16A , 13:36:4
55.08km/h, 76.24 V, -9.19A , 13:36:4
55.10km/h, 76.32 V, -9.04A , 13:36:4
55.13km/h, 76.34 V, -9.17A , 13:36:4
55.15km/h, 76.29 V, -9.22A , 13:36:4
55.16km/h, 76.33 V, -9.08A , 13:36:4
55.16km/h, 76.30 V, -9.07A , 13:36:5
55.13km/h, 76.37 V, -9.16A , 13:36:5
55.18km/h, 76.28 V, -9.03A , 13:36:5
55.16km/h, 76.30 V, -9.07A , 13:36:5
55.18km/h, 76.34 V, -8.89A , 13:36:5
55.14km/h, 76.30 V, -8.74A , 13:36:5
55.12km/h, 76.32 V, -8.92A , 13:36:5
55.13km/h, 76.42 V, -8.74A , 13:36:5
55.10km/h, 76.53 V, -8.62A , 13:36:5
55.08km/h, 76.59 V, -8.80A , 13:36:5
55.13km/h, 76.74 V, -8.75A , 13:36:5
55.16km/h, 76.76 V, -8.65A , 13:36:5
55.14km/h, 76.70 V, -8.79A , 13:36:5
55.13km/h, 76.70 V, -8.75A , 13:36:5
55.12km/h, 76.67 V, -8.90A , 13:36:5
55.14km/h, 76.72 V, -9.08A , 13:36:5
55.11km/h, 76.69 V, -8.97A , 13:36:5
55.09km/h, 76.57 V, -9.11A , 13:36:5
55.08km/h, 76.39 V, -9.23A , 13:36:5
55.07km/h, 76.36 V, -9.02A , 13:36:5
55.03km/h, 76.22 V, -9.04A , 13:36:5
55.00km/h, 76.13 V, -9.07A , 13:36:5
54.96km/h, 76.24 V, -8.92A , 13:36:5
54.93km/h, 76.20 V, -8.95A , 13:36:5
54.93km/h, 76.17 V, -9.04A , 13:36:5
54.90km/h, 76.20 V, -8.88A , 13:36:6
54.90km/h, 76.32 V, -8.89A , 13:36:6
54.85km/h, 76.33 V, -9.01A , 13:36:6
54.83km/h, 76.44 V, -8.92A , 13:36:6
54.79km/h, 76.43 V, -9.04A , 13:36:6
54.78km/h, 76.40 V, -8.93A , 13:36:6
54.75km/h, 76.43 V, -8.93A , 13:36:6
54.81km/h, 76.42 V, -9.11A , 13:36:6
54.82km/h, 76.52 V, -8.94A , 13:36:6
54.84km/h, 76.51 V, -8.80A , 13:36:6
54.83km/h, 76.35 V, -9.06A , 13:36:6
54.87km/h, 76.30 V, -8.99A , 13:36:6
54.92km/h, 76.33 V, -8.87A , 13:36:6
54.94km/h, 76.36 V, -8.99A , 13:36:6
54.97km/h, 76.35 V, -8.89A , 13:36:6
54.99km/h, 76.36 V, -9.03A , 13:36:6
55.05km/h, 76.49 V, -9.07A , 13:36:6
55.06km/h, 76.46 V, -8.93A , 13:36:6
55.05km/h, 76.30 V, -9.13A , 13:36:6
55.04km/h, 76.21 V, -9.22A , 13:36:6
55.07km/h, 76.37 V, -9.07A , 13:36:6
55.04km/h, 76.40 V, -9.09A , 13:36:6
55.06km/h, 76.38 V, -9.18A , 13:36:6
55.09km/h, 76.41 V, -8.93A , 13:36:6
55.09km/h, 76.53 V, -9.10A , 13:36:7
55.11km/h, 76.56 V, -9.15A , 13:36:7
55.09km/h, 76.62 V, -9.05A , 13:36:7
55.08km/h, 76.76 V, -9.10A , 13:36:7
55.06km/h, 76.85 V, -9.14A , 13:36:7
55.07km/h, 77.06 V, -9.13A , 13:36:7
55.08km/h, 77.03 V, -9.08A , 13:36:7
55.08km/h, 77.01 V, -9.04A , 13:36:7
55.07km/h, 77.13 V, -8.95A , 13:36:7
55.05km/h, 76.97 V, -9.19A , 13:36:7
55.06km/h, 76.87 V, -8.97A , 13:36:7
55.05km/h, 77.02 V, -8.78A , 13:36:7
55.06km/h, 76.83 V, -8.97A , 13:36:7
55.05km/h, 76.71 V, -8.80A , 13:36:7
55.08km/h, 76.65 V, -8.71A , 13:36:7
55.08km/h, 76.52 V, -8.75A , 13:36:7
55.09km/h, 76.61 V, -8.64A , 13:36:7
55.09km/h, 76.63 V, -8.75A , 13:36:7
55.09km/h, 76.46 V, -8.83A , 13:36:7
55.10km/h, 76.61 V, -8.71A , 13:36:7
55.10km/h, 76.53 V, -8.83A , 13:36:7
55.07km/h, 76.29 V, -9.07A , 13:36:7
55.11km/h, 76.43 V, -8.89A , 13:36:7
55.08km/h, 76.33 V, -8.99A , 13:36:7
55.10km/h, 76.32 V, -9.09A , 13:36:7
55.13km/h, 76.42 V, -8.91A , 13:36:8
55.11km/h, 76.42 V, -9.06A , 13:36:8
55.12km/h, 76.43 V, -9.14A , 13:36:8
55.12km/h, 76.47 V, -9.12A , 13:36:8
55.15km/h, 76.40 V, -9.17A , 13:36:8
55.13km/h, 76.47 V, -9.24A , 13:36:8
55.14km/h, 76.60 V, -9.12A , 13:36:8
55.11km/h, 76.54 V, -9.23A , 13:36:8
55.14km/h, 76.65 V, -9.16A , 13:36:8
55.11km/h, 76.70 V, -9.08A , 13:36:8
55.09km/h, 76.61 V, -9.31A , 13:36:8
55.12km/h, 76.64 V, -9.24A , 13:36:8
55.12km/h, 76.56 V, -9.17A , 13:36:8
55.11km/h, 76.52 V, -9.25A , 13:36:8
55.11km/h, 76.49 V, -9.16A , 13:36:8
55.15km/h, 76.56 V, -9.11A , 13:36:8
55.17km/h, 76.44 V, -9.19A , 13:36:8
55.16km/h, 76.38 V, -9.12A , 13:36:8
55.15km/h, 76.36 V, -9.18A , 13:36:8
55.17km/h, 76.33 V, -9.25A , 13:36:8
55.16km/h, 76.26 V, -9.14A , 13:36:8
55.12km/h, 76.10 V, -9.14A , 13:36:8
55.11km/h, 76.10 V, -9.12A , 13:36:8
55.11km/h, 76.05 V, -8.95A , 13:36:8
55.08km/h, 76.06 V, -8.97A , 13:36:9
55.07km/h, 75.90 V, -8.99A , 13:36:9
55.04km/h, 75.91 V, -9.01A , 13:36:9
55.03km/h, 75.88 V, -8.99A , 13:36:9
55.02km/h, 75.81 V, -9.14A , 13:36:9
55.03km/h, 75.77 V, -9.05A , 13:36:9
55.04km/h, 75.86 V, -9.19A , 13:36:9
55.06km/h, 75.99 V, -9.09A , 13:36:9
55.05km/h, 75.99 V, -9.07A , 13:36:9
55.07km/h, 76.05 V, -9.19A , 13:36:9
55.10km/h, 76.19 V, -9.05A , 13:36:9
55.09km/h, 76.23 V, -8.98A , 13:36:9
55.11km/h, 76.23 V, -8.99A , 13:36:9
55.15km/h, 76.26 V, -8.81A , 13:36:9
55.13km/h, 76.26 V, -8.70A , 13:36:9
55.12km/h, 76.30 V, -8.71A , 13:36:9
55.09km/h, 76.21 V, -8.54A , 13:36:9
55.08km/h, 76.23 V, -8.68A , 13:36:9
55.10km/h, 76.16 V, -8.91A , 13:36:9
55.10km/h, 76.33 V, -8.76A , 13:36:9
55.09km/h, 76.16 V, -8.95A , 13:36:9
55.12km/h, 76.20 V, -9.04A , 13:36:9
55.14km/h, 76.23 V, -8.93A , 13:36:9
55.10km/h, 76.23 V, -9.14A , 13:36:9
55.14km/h, 76.28 V, -9.25A , 13:36:9
55.18km/h, 76.26 V, -9.37A , 13:36:10
55.17km/h, 76.40 V, -9.48A , 13:36:10
55.20km/h, 76.23 V, -9.52A , 13:36:10
55.19km/h, 76.26 V, -9.27A , 13:36:10
55.17km/h, 76.04 V, -9.46A , 13:36:10
55.20km/h, 76.03 V, -9.53A , 13:36:10
55.16km/h, 76.07 V, -9.46A , 13:36:10
55.14km/h, 76.05 V, -9.52A , 13:36:10
55.15km/h, 75.95 V, -9.60A , 13:36:10
55.13km/h, 75.86 V, -9.54A , 13:36:10
55.12km/h, 75.76 V, -9.41A , 13:36:10
55.17km/h, 75.63 V, -9.26A , 13:36:10
55.17km/h, 75.63 V, -9.17A , 13:36:10
55.16km/h, 75.60 V, -9.17A , 13:36:10
55.15km/h, 75.63 V, -8.89A , 13:36:10
55.12km/h, 75.68 V, -8.65A , 13:36:10
55.09km/h, 75.53 V, -8.85A , 13:36:10
55.11km/h, 75.48 V, -8.84A , 13:36:10
55.09km/h, 75.52 V, -8.68A , 13:36:10
55.08km/h, 75.61 V, -8.75A , 13:36:10
55.06km/h, 75.61 V, -8.73A , 13:36:10
55.02km/h, 75.73 V, -8.68A , 13:36:10
55.01km/h, 75.83 V, -8.76A , 13:36:10
55.01km/h, 75.86 V, -8.80A , 13:36:10
55.00km/h, 75.89 V, -8.95A , 13:36:10
54.98km/h, 75.76 V, -9.22A , 13:36:11
54.98km/h, 75.86 V, -9.00A , 13:36:11
54.96km/h, 75.90 V, -9.06A , 13:36:11
54.98km/h, 75.93 V, -9.12A , 13:36:11
54.97km/h, 75.85 V, -9.00A , 13:36:11
54.98km/h, 75.82 V, -9.05A , 13:36:11
55.00km/h, 75.66 V, -9.20A , 13:36:11
55.02km/h, 75.54 V, -9.20A , 13:36:11
55.04km/h, 75.44 V, -9.23A , 13:36:11
55.03km/h, 75.45 V, -9.35A , 13:36:11
55.03km/h, 75.60 V, -9.07A , 13:36:11
55.04km/h, 75.60 V, -9.21A , 13:36:11
55.06km/h, 75.59 V, -9.06A , 13:36:11
55.05km/h, 75.59 V, -8.95A , 13:36:11
55.12km/h, 75.56 V, -8.95A , 13:36:11
55.11km/h, 75.61 V, -8.80A , 13:36:11
55.08km/h, 75.70 V, -8.68A , 13:36:11
55.09km/h, 75.66 V, -8.77A , 13:36:11
55.07km/h, 75.80 V, -8.72A , 13:36:11
55.09km/h, 75.73 V, -8.57A , 13:36:11
55.11km/h, 75.59 V, -8.83A , 13:36:11
55.16km/h, 75.56 V, -8.64A , 13:36:11
55.16km/h, 75.53 V, -8.78A , 13:36:11
55.18km/h, 75.58 V, -8.94A , 13:36:11
55.15km/h, 75.72 V, -8.84A , 13:36:12
55.16km/h, 75.74 V, -9.04A , 13:36:12
55.16km/h, 75.63 V, -9.23A , 13:36:12
55.15km/h, 75.72 V, -9.08A , 13:36:12
55.14km/h, 75.69 V, -9.07A , 13:36:12
55.17km/h, 75.66 V, -9.16A , 13:36:12
55.17km/h, 75.77 V, -8.92A , 13:36:12
55.12km/h, 75.73 V, -9.09A , 13:36:12
55.10km/h, 75.72 V, -9.07A , 13:36:12
55.11km/h, 75.67 V, -8.91A , 13:36:12
55.11km/h, 75.56 V, -9.01A , 13:36:12
55.05km/h, 75.55 V, -9.00A , 13:36:12
55.05km/h, 75.66 V, -8.88A , 13:36:12
55.03km/h, 75.61 V, -8.90A , 13:36:12
55.03km/h, 75.63 V, -8.79A , 13:36:12
54.99km/h, 75.83 V, -8.63A , 13:36:12
54.99km/h, 75.74 V, -8.90A , 13:36:12
55.01km/h, 75.90 V, -8.66A , 13:36:12
55.02km/h, 75.93 V, -8.62A , 13:36:12
55.00km/h, 75.96 V, -8.71A , 13:36:12
54.97km/h, 76.03 V, -8.69A , 13:36:12
54.98km/h, 76.02 V, -8.60A , 13:36:12
54.99km/h, 75.90 V, -8.74A , 13:36:12
55.02km/h, 75.93 V, -8.68A , 13:36:12
55.05km/h, 75.79 V, -8.85A , 13:36:12
55.10km/h, 75.67 V, -9.04A , 13:36:13
55.08km/h, 75.73 V, -9.00A , 13:36:13
55.11km/h, 75.58 V, -9.17A , 13:36:13
55.13km/h, 75.50 V, -9.23A , 13:36:13
55.16km/h, 75.43 V, -9.18A , 13:36:13
55.17km/h, 75.38 V, -9.19A , 13:36:13
55.19km/h, 75.41 V, -9.22A , 13:36:13
55.20km/h, 75.53 V, -8.98A , 13:36:13
55.17km/h, 75.57 V, -9.08A , 13:36:13
55.14km/h, 75.60 V, -9.07A , 13:36:13
55.12km/h, 75.53 V, -9.01A , 13:36:13
55.13km/h, 75.44 V, -8.88A , 13:36:13
55.06km/h, 75.43 V, -8.93A , 13:36:13
55.04km/h, 75.61 V, -8.85A , 13:36:13
55.01km/h, 75.61 V, -8.97A , 13:36:13
55.07km/h, 75.61 V, -8.90A , 13:36:13
55.07km/h, 75.66 V, -8.91A , 13:36:13
55.11km/h, 75.60 V, -9.05A , 13:36:13
55.13km/h, 75.72 V, -8.85A , 13:36:13
55.17km/h, 75.75 V, -8.82A , 13:36:13
55.17km/h, 75.76 V, -8.86A , 13:36:13
55.18km/h, 75.94 V, -8.76A , 13:36:13
55.22km/h, 75.96 V, -8.75A , 13:36:13
55.20km/h, 75.89 V, -8.87A , 13:36:13
55.19km/h, 75.93 V, -8.80A , 13:36:14
55.17km/h, 75.90 V, -8.92A , 13:36:14
55.18km/h, 75.91 V, -9.01A , 13:36:14
55.15km/h, 75.98 V, -8.94A , 13:36:14
55.14km/h, 75.82 V, -9.15A , 13:36:14
55.10km/h, 75.76 V, -9.18A , 13:36:14
55.12km/h, 75.76 V, -9.14A , 13:36:14
55.08km/h, 75.82 V, -9.26A , 13:36:14
55.07km/h, 75.84 V, -9.25A , 13:36:14
55.07km/h, 75.89 V, -9.07A , 13:36:14
55.09km/h, 75.92 V, -9.06A , 13:36:14
55.04km/h, 75.93 V, -9.09A , 13:36:14
55.02km/h, 75.85 V, -8.97A , 13:36:14
55.00km/h, 75.79 V, -9.00A , 13:36:14
54.95km/h, 75.70 V, -9.01A , 13:36:14
54.95km/h, 75.83 V, -8.99A , 13:36:14
54.92km/h, 75.88 V, -9.03A , 13:36:14
54.92km/h, 75.70 V, -8.95A , 13:36:14
54.92km/h, 75.73 V, -8.99A , 13:36:14
54.94km/h, 75.69 V, -9.00A , 13:36:14
54.94km/h, 75.68 V, -8.85A , 13:36:14
54.93km/h, 75.76 V, -8.75A , 13:36:14
54.92km/h, 75.80 V, -8.86A , 13:36:14
54.93km/h, 75.78 V, -8.89A , 13:36:14
54.96km/h, 75.85 V, -8.88A , 13:36:14
54.98km/h, 75.76 V, -8.90A , 13:36:15
55.01km/h, 75.85 V, -8.76A , 13:36:15
55.08km/h, 75.82 V, -8.88A , 13:36:15
55.11km/h, 75.76 V, -8.88A , 13:36:15
55.11km/h, 75.89 V, -8.88A , 13:36:15
55.13km/h, 75.84 V, -9.04A , 13:36:15
55.16km/h, 75.84 V, -9.12A , 13:36:15
55.17km/h, 75.88 V, -9.07A , 13:36:15
55.17km/h, 75.89 V, -9.07A , 13:36:15
55.18km/h, 75.97 V, -9.13A , 13:36:15
55.16km/h, 76.00 V, -9.02A , 13:36:15
55.13km/h, 75.85 V, -9.09A , 13:36:15
55.06km/h, 75.94 V, -9.10A , 13:36:15
55.04km/h, 75.89 V, -9.16A , 13:36:15
55.01km/h, 75.69 V, -9.22A , 13:36:15
54.94km/h, 75.66 V, -9.31A , 13:36:15
54.93km/h, 75.80 V, -9.16A , 13:36:15
54.92km/h, 75.73 V, -9.20A , 13:36:15
54.93km/h, 75.90 V, -9.05A , 13:36:15
54.91km/h, 75.90 V, -8.97A , 13:36:15
54.94km/h, 75.90 V, -9.16A , 13:36:15
54.94km/h, 75.96 V, -9.07A , 13:36:15
54.97km/h, 75.92 V, -8.91A , 13:36:15
54.97km/h, 76.03 V, -8.95A , 13:36:15
55.01km/h, 76.12 V, -8.86A , 13:36:15
55.03km/h, 76.23 V, -8.76A , 13:36:16
55.05km/h, 75.98 V, -9.05A , 13:36:16
55.08km/h, 75.97 V, -8.90A , 13:36:16
55.09km/h, 75.88 V, -9.00A , 13:36:16
55.11km/h, 75.73 V, -9.09A , 13:36:16
55.09km/h, 75.72 V, -8.91A , 13:36:16
55.11km/h, 75.67 V, -8.97A , 13:36:16
55.08km/h, 75.59 V, -9.23A , 13:36:16
55.08km/h, 75.61 V, -8.97A , 13:36:16
55.01km/h, 75.64 V, -9.11A , 13:36:16
55.00km/h, 75.60 V, -9.14A , 13:36:16
55.00km/h, 75.75 V, -8.88A , 13:36:16
54.91km/h, 75.76 V, -9.00A , 13:36:16
54.89km/h, 75.72 V, -9.10A , 13:36:16
54.84km/h, 75.81 V, -8.95A , 13:36:16
54.79km/h, 75.86 V, -8.97A , 13:36:16
54.76km/h, 75.93 V, -9.06A , 13:36:16
54.77km/h, 75.97 V, -8.97A , 13:36:16
54.81km/h, 75.99 V, -9.03A , 13:36:16
54.80km/h, 75.95 V, -9.03A , 13:36:16
54.84km/h, 75.90 V, -8.95A , 13:36:16
54.82km/h, 75.79 V, -9.11A , 13:36:16
54.86km/h, 75.79 V, -8.97A , 13:36:16
54.84km/h, 75.76 V, -8.88A , 13:36:16
54.90km/h, 75.75 V, -8.99A , 13:36:17
54.94km/h, 75.76 V, -8.97A , 13:36:17
54.93km/h, 75.70 V, -8.91A , 13:36:17
54.93km/h, 75.73 V, -8.94A , 13:36:17
54.92km/h, 75.65 V, -8.92A , 13:36:17
54.98km/h, 75.70 V, -8.90A , 13:36:17
54.96km/h, 75.72 V, -9.06A , 13:36:17
54.96km/h, 75.76 V, -8.98A , 13:36:17
55.00km/h, 75.77 V, -9.16A , 13:36:17
55.02km/h, 75.76 V, -9.28A , 13:36:17
55.01km/h, 75.75 V, -9.28A , 13:36:17
55.04km/h, 75.79 V, -9.29A , 13:36:17
55.07km/h, 75.85 V, -9.37A , 13:36:17
55.08km/h, 75.91 V, -9.35A , 13:36:17
55.08km/h, 75.89 V, -9.43A , 13:36:17
55.10km/h, 75.89 V, -9.48A , 13:36:17
55.12km/h, 75.88 V, -9.32A , 13:36:17
55.15km/h, 75.94 V, -9.31A , 13:36:17
55.11km/h, 75.90 V, -9.32A , 13:36:17
55.12km/h, 75.93 V, -9.10A , 13:36:17
55.12km/h, 75.91 V, -9.11A , 13:36:17
55.11km/h, 75.94 V, -9.07A , 13:36:17
55.08km/h, 75.86 V, -8.97A , 13:36:17
55.10km/h, 75.82 V, -8.98A , 13:36:17
55.08km/h, 75.92 V, -8.79A , 13:36:17
55.04km/h, 75.93 V, -8.64A , 13:36:18
55.05km/h, 75.93 V, -8.87A , 13:36:18
55.02km/h, 75.99 V, -8.74A , 13:36:18
55.06km/h, 76.01 V, -8.61A , 13:36:18
55.04km/h, 76.03 V, -8.82A , 13:36:18
55.10km/h, 76.04 V, -8.73A , 13:36:18
55.11km/h, 76.04 V, -8.81A , 13:36:18
55.12km/h, 76.03 V, -8.89A , 13:36:18
55.10km/h, 76.02 V, -8.77A , 13:36:18
55.09km/h, 75.98 V, -8.95A , 13:36:18
55.10km/h, 75.87 V, -9.11A , 13:36:18
55.07km/h, 75.94 V, -8.98A , 13:36:18
55.06km/h, 75.91 V, -9.09A , 13:36:18
55.04km/h, 75.97 V, -9.20A , 13:36:18
55.05km/h, 76.06 V, -9.04A , 13:36:18
54.98km/h, 76.12 V, -9.06A , 13:36:18
54.97km/h, 76.03 V, -9.13A , 13:36:18
54.95km/h, 76.08 V, -9.13A , 13:36:18
54.96km/h, 76.06 V, -9.19A , 13:36:18
54.97km/h, 75.95 V, -9.15A , 13:36:18
54.98km/h, 76.12 V, -9.04A , 13:36:18
55.00km/h, 76.03 V, -9.00A , 13:36:18
55.01km/h, 76.06 V, -8.86A , 13:36:18
54.99km/h, 76.10 V, -8.75A , 13:36:18
55.01km/h, 76.00 V, -8.95A , 13:36:19
55.05km/h, 76.06 V, -8.76A , 13:36:19
55.00km/h, 76.04 V, -8.69A , 13:36:19
55.04km/h, 75.99 V, -8.74A , 13:36:19
55.05km/h, 76.06 V, -8.69A , 13:36:19
55.05km/h, 76.13 V, -8.60A , 13:36:19
55.02km/h, 75.94 V, -8.78A , 13:36:19
55.02km/h, 75.96 V, -8.67A , 13:36:19
55.04km/h, 75.84 V, -8.86A , 13:36:19
55.04km/h, 75.76 V, -8.99A , 13:36:19
55.02km/h, 75.75 V, -8.88A , 13:36:19
55.00km/h, 75.81 V, -9.10A , 13:36:19
55.04km/h, 75.79 V, -9.20A , 13:36:19
55.05km/h, 75.92 V, -9.03A , 13:36:19
55.04km/h, 75.85 V, -9.14A , 13:36:19
55.07km/h, 75.89 V, -9.34A , 13:36:19
55.10km/h, 76.13 V, -9.03A , 13:36:19
55.09km/h, 76.16 V, -9.20A , 13:36:19
55.06km/h, 76.16 V, -9.23A , 13:36:19
55.10km/h, 76.13 V, -9.16A , 13:36:19
55.10km/h, 76.11 V, -9.14A , 13:36:19
55.11km/h, 75.98 V, -9.17A , 13:36:19
55.11km/h, 75.99 V, -9.03A , 13:36:19
55.07km/h, 75.93 V, -9.17A , 13:36:19
55.05km/h, 75.97 V, -9.12A , 13:36:19
55.04km/h, 75.95 V, -9.13A , 13:36:20
55.04km/h, 75.79 V, -9.32A , 13:36:20
55.06km/h, 75.82 V, -9.08A , 13:36:20
55.05km/h, 75.87 V, -9.01A , 13:36:20
55.06km/h, 75.90 V, -9.08A , 13:36:20
55.07km/h, 75.96 V, -8.90A , 13:36:20
55.05km/h, 75.93 V, -8.77A , 13:36:20
55.06km/h, 76.03 V, -8.91A , 13:36:20
55.09km/h, 76.04 V, -8.75A , 13:36:20
55.11km/h, 76.06 V, -8.73A , 13:36:20
55.10km/h, 76.01 V, -8.69A , 13:36:20
55.07km/h, 75.96 V, -8.62A , 13:36:20
55.06km/h, 75.87 V, -8.85A , 13:36:20
55.10km/h, 75.72 V, -9.05A , 13:36:20
55.10km/h, 75.72 V, -8.81A , 13:36:20
55.07km/h, 75.83 V, -9.04A , 13:36:20
55.06km/h, 75.80 V, -9.19A , 13:36:20
55.09km/h, 75.76 V, -9.10A , 13:36:20
55.07km/h, 75.79 V, -9.17A , 13:36:20
55.06km/h, 75.76 V, -9.18A , 13:36:20
55.04km/h, 75.85 V, -9.05A , 13:36:20
55.06km/h, 75.94 V, -9.11A , 13:36:20
55.05km/h, 75.93 V, -9.10A , 13:36:20
55.03km/h, 76.00 V, -8.98A , 13:36:20
55.00km/h, 75.99 V, -9.05A , 13:36:21
55.00km/h, 75.80 V, -9.11A , 13:36:21
55.01km/h, 75.90 V, -9.02A , 13:36:21
54.98km/h, 75.95 V, -9.00A , 13:36:21
54.95km/h, 76.00 V, -8.88A , 13:36:21
54.92km/h, 75.94 V, -8.85A , 13:36:21
54.91km/h, 75.89 V, -9.08A , 13:36:21
54.93km/h, 76.02 V, -8.88A , 13:36:21
54.95km/h, 76.11 V, -8.81A , 13:36:21
54.94km/h, 76.10 V, -8.78A , 13:36:21
54.93km/h, 76.09 V, -8.84A , 13:36:21
54.96km/h, 76.13 V, -8.70A , 13:36:21
54.94km/h, 75.96 V, -8.80A , 13:36:21
54.94km/h, 75.86 V, -8.78A , 13:36:21
54.95km/h, 75.70 V, -8.99A , 13:36:21
54.98km/h, 75.76 V, -9.04A , 13:36:21
54.98km/h, 75.75 V, -8.89A , 13:36:21
54.95km/h, 75.54 V, -9.01A , 13:36:21
54.94km/h, 75.41 V, -9.18A , 13:36:21
54.97km/h, 75.63 V, -9.07A , 13:36:21
54.97km/h, 75.66 V, -9.09A , 13:36:21
54.97km/h, 75.70 V, -9.15A , 13:36:21
55.01km/h, 75.80 V, -8.99A , 13:36:21
55.00km/h, 75.93 V, -8.99A , 13:36:21
55.04km/h, 75.93 V, -9.00A , 13:36:21
55.07km/h, 75.88 V, -8.96A , 13:36:22
55.08km/h, 75.89 V, -8.92A , 13:36:22
55.06km/h, 75.90 V, -9.05A , 13:36:22
55.02km/h, 75.99 V, -8.82A , 13:36:22
54.98km/h, 75.82 V, -9.01A , 13:36:22
55.00km/h, 75.93 V, -8.89A , 13:36:22
55.01km/h, 75.96 V, -8.86A , 13:36:22
55.00km/h, 75.96 V, -9.04A , 13:36:22
55.02km/h, 75.88 V, -8.90A , 13:36:22
55.01km/h, 75.97 V, -8.78A , 13:36:22
54.99km/h, 76.03 V, -8.86A , 13:36:22
54.99km/h, 76.00 V, -8.92A , 13:36:22
55.01km/h, 76.03 V, -8.71A , 13:36:22
55.05km/h, 75.86 V, -8.98A , 13:36:22
55.06km/h, 75.90 V, -8.85A , 13:36:22
55.08km/h, 75.82 V, -8.98A , 13:36:22
55.07km/h, 75.73 V, -9.04A , 13:36:22
55.05km/h, 75.84 V, -8.89A , 13:36:22
55.02km/h, 75.80 V, -9.08A , 13:36:22
55.01km/h, 75.79 V, -9.15A , 13:36:22
55.00km/h, 75.75 V, -9.12A , 13:36:22
54.99km/h, 75.81 V, -9.19A , 13:36:22
55.01km/h, 75.83 V, -9.29A , 13:36:22
55.02km/h, 75.99 V, -9.11A , 13:36:22
55.01km/h, 75.99 V, -9.12A , 13:36:23
55.00km/h, 75.91 V, -9.15A , 13:36:23
55.00km/h, 75.92 V, -9.09A , 13:36:23
55.00km/h, 75.76 V, -9.13A , 13:36:23
54.99km/h, 75.81 V, -9.19A , 13:36:23
54.98km/h, 75.76 V, -9.11A , 13:36:23
54.99km/h, 75.82 V, -9.12A , 13:36:23
54.99km/h, 75.90 V, -8.95A , 13:36:23
54.98km/h, 75.87 V, -8.92A , 13:36:23
55.00km/h, 75.95 V, -9.07A , 13:36:23
55.01km/h, 75.94 V, -8.85A , 13:36:23
55.01km/h, 75.96 V, -8.77A , 13:36:23
55.01km/h, 76.02 V, -8.84A , 13:36:23
55.05km/h, 76.08 V, -8.79A , 13:36:23
55.06km/h, 76.04 V, -8.76A , 13:36:23
55.05km/h, 76.00 V, -8.92A , 13:36:23
55.05km/h, 76.03 V, -8.81A , 13:36:23
55.09km/h, 75.96 V, -8.95A , 13:36:23
